States/UTs,Crime Head,Year,Persons arrested during the year_Male,Persons arrested during the year_Female,Persons arrested during the year_Total,Total number of persons under Trial_Male,Total number of persons under Trial_Female,Total number of persons under Trial_Total,Persons whose cases trials were completed during the year_Male,Persons whose cases trials were completed during the year_Female,Persons whose cases trials were completed during the year_Total,Persons convicted_Male,Persons convicted_Female,Persons convicted_Total,Persons acquitted_Male,Persons acquitted_Female,Persons acquitted_Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punjab,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,83,8,91,255,7,262,12,5,17,2,0,2,10,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,249,8,257,729,19,748,61,3,64,19,1,20,40,2,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikkim,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,5,0,5,4,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,29,2,31,158,0,158,61,0,61,1,0,1,60,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,151,0,151,284,2,286,40,0,40,1,0,1,39,0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripura,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,2475,243,2718,4288,277,4565,740,109,849,323,45,368,396,64,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttarakhand,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,53,0,53,82,0,82,6,0,6,2,0,2,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,931,13,944,803,15,818,89,2,91,2,0,2,87,2,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & N Islands,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,6,0,6,31,0,31,8,0,8,0,0,0,8,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,13,0,13,48,0,48,28,0,28,3,0,3,25,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D&N Haveli,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,3,0,3,36,0,36,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
